year,industry,ksic_section,owner_group,item,value
2019,전체,전체,70대 이상,신생,41435.0
2019,전체,전체,70대 이상,소멸,54909.0
2019,전체,전체,70대 이상,신생률,9.1
2019,전체,전체,70대 이상,소멸률,12.0
2020,전체,전체,70대 이상,활동,502143.0
2020,전체,전체,70대 이상,신생,50094.0
2020,전체,전체,70대 이상,소멸,60519.0
2020,전체,전체,70대 이상,신생률,10.0
2020,전체,전체,70대 이상,소멸률,12.1
2021,전체,전체,70대 이상,활동,534659.0
2021,전체,전체,70대 이상,신생,46148.0
2021,전체,전체,70대 이상,소멸,58973.0
2021,전체,전체,70대 이상,신생률,8.6
2021,전체,전체,70대 이상,소멸률,11.0
2022,전체,전체,70대 이상,활동,598336.0
2022,전체,전체,70대 이상,신생,48993.0
2022,전체,전체,70대 이상,소멸,59435.0
2022,전체,전체,70대 이상,신생률,8.2
2022,전체,전체,70대 이상,소멸률,9.9
2023,전체,전체,70대 이상,활동,654594.0
2023,전체,전체,70대 이상,신생,45861.0
2023,전체,전체,70대 이상,소멸,66490.0
2023,전체,전체,70대 이상,신생률,7.0
2023,전체,전체,70대 이상,소멸률,10.2
2024,전체,전체,70대 이상,활동,719144.0
2024,전체,전체,70대 이상,신생,44854.0
2024,전체,전체,70대 이상,신생률,6.2
2011,전체,전체,연령미상,활동,51768.0
2011,전체,전체,연령미상,신생,10326.0
2011,전체,전체,연령미상,소멸,8077.0
2011,전체,전체,연령미상,신생률,19.9
2011,전체,전체,연령미상,소멸률,15.6
2012,전체,전체,연령미상,활동,21062.0
2012,전체,전체,연령미상,신생,1840.0
2012,전체,전체,연령미상,소멸,3126.0
2012,전체,전체,연령미상,신생률,8.7
2012,전체,전체,연령미상,소멸률,14.8
2013,전체,전체,연령미상,활동,12266.0
2013,전체,전체,연령미상,신생,1709.0
2013,전체,전체,연령미상,소멸,1560.0
2013,전체,전체,연령미상,신생률,13.9
2013,전체,전체,연령미상,소멸률,12.7
2014,전체,전체,연령미상,활동,12268.0
